"","Team","Accuracy","Sensitivity","Specificity","Group","team_id","mascot","abbreviation","alt_name1","alt_name2","alt_name3","conference","division","color","alt_color","logos","venue_id","venue_name","city","state","zip","country_code","timezone","latitude","longitude","elevation","capacity","year_constructed","grass","dome"
"69","Iowa State","0.7","0.78","0.61","3",66,"Cyclones","ISU",NA,"ISU","Iowa State","Big 12",NA,"#660015","#830b2c","http://a.espncdn.com/i/teamlogos/ncaa/500/66.png",3772,"Jack Trice Stadium","Ames","IA","50011","US","America/Chicago",42.0139977,-93.6357716,"274.9135437",61500,1975,FALSE,FALSE
"70","Kansas","0.67","0.58","0.74","3",2305,"Jayhawks","KU",NA,"KU","Kansas","Big 12",NA,"#0022B4","#e8000d","http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png",3833,"Memorial Stadium","Lawrence","KS","66045","US","America/Chicago",38.9629418,-95.2463686,"274.855957",47000,1921,FALSE,FALSE
"71","Kent State","0.61","0.83","0.25","3",2309,"Golden Flashes","KENT",NA,"KENT","Kent State","Mid-American","East","#002445","#f0b510","http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png",3696,"Dix Stadium","Kent","OH","44242","US","America/New_York",41.1390935,-81.31346,"321.3641663",25319,1969,FALSE,FALSE
"72","NC State","0.61","0.6","0.61","3",152,"Wolfpack","NCST","North Carolina St.","NCST","NC State","ACC","Atlantic","#EF1216","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/152.png",3670,"Carter-Finley Stadium","Raleigh","NC","27695","US","America/New_York",35.8008001,-78.7195655,"117.0089951",58000,1966,FALSE,FALSE
"73","North Carolina","0.68","0.78","0.56","3",153,"Tar Heels","UNC",NA,"UNC","UNC","ACC","Coastal","#99bfe5","#13294b","http://a.espncdn.com/i/teamlogos/ncaa/500/153.png",3787,"Kenan Memorial Stadium","Chapel Hill","NC","27515","US","America/New_York",35.9069294,-79.0478889,"127.7569809",50500,1927,FALSE,FALSE
"74","Ohio","0.63","0.8","0.41","3",195,"Bobcats","OHIO",NA,"OHIO","Ohio","Mid-American","East","#295A29","#e4bb85","http://a.espncdn.com/i/teamlogos/ncaa/500/195.png",3876,"Peden Stadium","Athens","OH","45701","US","America/New_York",39.3212794,-82.1034315,"194.230896",24000,1929,FALSE,FALSE
"75","Oklahoma State","0.58","0.65","0.5","3",197,"Cowboys","OKST",NA,"OKST","Oklahoma State","Big 12",NA,"#FF6500","#ff9900","http://a.espncdn.com/i/teamlogos/ncaa/500/197.png",3646,"Boone Pickens Stadium","Stillwater","OK","74078","US","America/Chicago",36.125673,-97.066513,"276.4808655",55509,1919,FALSE,FALSE
"76","Ole Miss","0.65","0.74","0.54","3",145,"Rebels","MISS",NA,"MISS","Ole Miss","SEC","West","#001148","#00205b","http://a.espncdn.com/i/teamlogos/ncaa/500/145.png",3974,"Vaught-Hemingway Stadium","Oxford","MS","38677","US","America/Chicago",34.3619837,-89.5342076,"146.8517151",64038,1915,TRUE,FALSE
"77","Penn State","0.68","0.72","0.64","3",213,"Nittany Lions","PSU",NA,"PSU","Penn State","Big Ten","East","#00265D","#002e5c","http://a.espncdn.com/i/teamlogos/ncaa/500/213.png",3632,"Beaver Stadium","University Park","PA","16802","US","America/New_York",40.8121958,-77.8561023,"354.1551514",106572,1960,FALSE,FALSE
"78","San José State","0.63","0.59","0.66","3",23,"Spartans","SJSU","San Jose St.","SJSU","San Jose State","Mountain West","West","#005893","#fdba31","http://a.espncdn.com/i/teamlogos/ncaa/500/23.png",3935,"Spartan Stadium","San Jose","CA","95112","US","America/Los_Angeles",37.3196675,-121.8682962,"28.30708694",30456,1933,FALSE,FALSE
"79","South Alabama","0.68","0.7","0.67","3",6,"Jaguars","USA",NA,"USA","South Alabama","Sun Belt",NA,"#003E7E",NA,"http://a.espncdn.com/i/teamlogos/ncaa/500/6.png",3797,"Ladd Peebles Stadium","Mobile","AL","36695","US","America/Chicago",30.6730374,-88.0755704,"9.828813553",33471,1948,FALSE,FALSE
"80","Syracuse","0.66","0.59","0.71","3",183,"Orange","SYR",NA,"SYR","Syracuse","ACC","Atlantic","#F37321","#0d1d37","http://a.espncdn.com/i/teamlogos/ncaa/500/183.png",1964,"Carrier Dome","Syracuse","NY","13244","US","America/New_York",43.0362269,-76.1363161,"162.6989746",49057,1980,FALSE,TRUE
"81","Toledo","0.69","0.78","0.59","3",2649,"Rockets","TOL",NA,"TOL","Toledo","Mid-American","West","#ffffff","#ffd51d","http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png",3739,"Glass Bowl","Toledo","OH","43606","US","America/New_York",41.6574777,-83.6135652,"181.4839783",26038,1937,FALSE,FALSE
"82","UMass","0.61","0.55","0.7","3",113,"Minutemen","UMASS",NA,"UMASS","UMass","FBS Independents",NA,"#880007",NA,"http://a.espncdn.com/i/teamlogos/ncaa/500/113.png",3985,"Warren McGuirk Alumni Stadium","Hadley","MA","1003 ","US","America/New_York",42.3773244,-72.5360595,"46.58664703",17000,1965,FALSE,FALSE
"83","UNLV","0.66","0.58","0.72","3",2439,"Rebels","UNLV","Nevada-Las Vegas","UNLV","UNLV","Mountain West","West","#000000","#c2c4c6","http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png",3914,"Sam Boyd Stadium","Whitney","NV","89154","US","America/Los_Angeles",36.085935,-115.01731,"490.0622253",36800,1971,FALSE,FALSE
"84","Utah State","0.67","0.67","0.66","3",328,"Aggies","USU",NA,"USU","Utah State","Mountain West","Mountain","#003263","#949ca1","http://a.espncdn.com/i/teamlogos/ncaa/500/328.png",3905,"Romney Stadium","Logan","UT","84322","US","America/Denver",41.7517394,-111.8116007,"1427.914429",25513,1968,FALSE,FALSE
"85","Vanderbilt","0.77","0.53","0.91","3",238,"Commodores","VAN",NA,"VAN","Vanderbilt","SEC","East","#000000","#231f20","http://a.espncdn.com/i/teamlogos/ncaa/500/238.png",3973,"Vanderbilt Stadium","Nashville","TN","37212","US","America/Chicago",36.1440455,-86.8088942,"159.9194641",40351,1922,FALSE,FALSE
"86","Baylor","0.63","0.61","0.64","4",239,"Bears","BAY",NA,"BAY","Baylor","Big 12",NA,"#004834","#ffb81c","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png",3724,"Floyd Casey Stadium","Waco","TX","76798","US","America/Chicago",31.530206,-97.148358,"151.2",50000,1950,FALSE,FALSE
"87","California","0.61","0.72","0.52","4",25,"Golden Bears","CAL",NA,"CAL","Cal","Pac-12","North","#031522","#ffc423","http://a.espncdn.com/i/teamlogos/ncaa/500/25.png",3831,"California Memorial Stadium","Berkeley","CA","94720","US","America/Los_Angeles",37.8710434,-122.2507729,"125.3108063",62467,1923,FALSE,FALSE
"88","East Carolina","0.64","0.71","0.57","4",151,"Pirates","ECU",NA,"ECU","ECU","American Athletic","East","#4b1869","#f0907b","http://a.espncdn.com/i/teamlogos/ncaa/500/151.png",3699,"Dowdy-Ficklen Stadium","Greenville","NC","27858","US","America/New_York",35.5968486,-77.364564,"19.0564537",50000,1963,FALSE,FALSE
"89","Georgia Tech","0.66","0.79","0.52","4",59,"Yellow Jackets","GT",NA,"GT","Georgia Tech","ACC","Coastal","#00223e","#002c56","http://a.espncdn.com/i/teamlogos/ncaa/500/59.png",721,"Bobby Dodd Stadium at Historic Grant Field","Atlanta","GA","30332","US","America/New_York",33.7724449,-84.3928054,"279.300415",55000,1913,TRUE,FALSE
